soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
BackRoad Gee,I Got Mine/My Famlee,rap,22100.0,2020-08-12 19:43:25.025000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Balamii,"Hear, Sense & Feel: A Samba Special w/ Pedro & Basma - August 2020",ultimate,0,2020-08-14 03:07:12.494000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bearcubs,Même Langue (feat. MUNYA),indie,221,2020-08-11 00:45:37.810000+00:00,bearcubsmusic,61,"3,607",383,7.88%,270.40,13.80
Beastie Boys,Sabotage,indie,123000.0,2020-08-11 14:13:00.066000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bebe Rexha,Meant To Be (With Florida Georgia Line),indie,18900000.0,2020-08-11 00:55:42.195000+00:00,beberexha,"1,070","10,357,789","1,151",4.43%,"455,939.00","2,889.00"
Because Music,Metronomy -  The Look,indie,0,2020-08-11 20:19:43.575000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Beck,Devils Haircut,indie,17500.0,2020-08-11 14:13:11.024000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Becky Hill Official,Heaven On My Mind (Topic Remix),ultimate,3261,2020-08-13 23:58:51.133000+00:00,beckyhill,"1,858","175,140","2,456",2.38%,"4,114.65",56.10
Bella Boo,Stars (Kornél Kovács Remix),indie,319,2020-08-11 00:26:16.909000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bellah,Something U Like,ultimate,351,2020-08-13 00:58:06.072000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Belle and Sebastian,The Boy With The Arab Strap,indie,0,2020-08-11 14:11:54.869000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Belly Squad,Word Of Mouth (feat. Young Smokes),rap,10900.0,2020-08-12 19:34:27.187000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ben Khan,Walk Alone at Night,ultimate,371,2020-08-13 14:29:32.903000+00:00,ben_khan,8,"4,509",314,--,0.00,0.00
Ben Pearce Productions,What I Might Do,ultimate,5076,2020-08-13 15:27:10.534000+00:00,benpearcedj,"1,023","7,090","2,038",1.11%,72.20,6.50
Benjiii,OST FREESTYLE ! <333 (prod by. BVYN),ultimate,585,2020-08-14 03:49:28.107000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Beyoncé,"Beyoncé, Shatta Wale & Major Lazer - ALREADY",rap,217000.0,2020-08-12 19:29:52.727000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bibliothèque Records,Sebjak - Rain (Preview) *OUT NOW!*,ultimate,4721,2020-08-13 16:51:25.500000+00:00,bibliothequerecords,378,"1,627",66,3.31%,0.00,0.00
Biffy Clyro,Bubbles,indie,377000.0,2020-08-11 20:19:58.845000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Big Oppai Ne-san,Wolves *Nightcore*,ultimate,13800.0,2020-08-14 03:47:03.091000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Big Zuu,The Struggle (Freestyle),rap,4019,2020-08-12 20:27:11.436000+00:00,itsbigzuu,484,"105,392",389,2.69%,"2,791.65",44.50
BigManZest,Monday RnB Madness,ultimate,879,2020-08-16 18:26:18.044000+00:00,bigmanzest,n/a,n/a,n/a,n/a,n/a,n/a
Biig Piig,Switch,indie,27200.0,2020-08-11 02:51:26.957000+00:00,biig_piig,99,"59,393",5,8.24%,"4,836.15",54.90
Billie Eilish,i love you,indie,3250000.0,2020-08-11 00:52:58.780000+00:00,billieeilish,436,"65,958,429",0,10.01%,"6,528,020.00","76,495.80"
Billy Low,Small Talk,indie,15,2020-08-11 18:40:26.830000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bishop Briggs,CHAMPION (feat. Tom Morello),ultimate,5418,2020-08-13 14:57:01.877000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bitch Falcon,Gaslight,ultimate,0,2020-08-13 15:06:21.551000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bizzy Banks,Don't Start Pt. 2,rap,1190000.0,2020-08-12 19:39:44.478000+00:00,gmtobizzy,11,"68,493",837,25.64%,"16,840.70",720.46
Björk,Hyperballad,indie,7635,2020-08-11 14:17:41.593000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bklava,Slow Down,indie,151,2020-08-11 00:45:52.998000+00:00,bklava,49,"2,246",640,6.70%,141.85,8.70
