soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Belly Squad,Word Of Mouth (feat. Young Smokes),rap,10900,2020-08-12 19:34:27.187000+00:00,bellysquad,,,,,,,
Ben Khan,Walk Alone at Night,ultimate,371,2020-08-13 14:29:32.903000+00:00,ben_khan,8,"4,526",349,7.53%,324.14,16.86,341
Ben Pearce Productions,What I Might Do,ultimate,5076,2020-08-13 15:27:10.534000+00:00,benpearcedj,"1,024","7,089","2,050",1.11%,72,6.45,79
Benjiii,OST FREESTYLE ! <333 (prod by. BVYN),ultimate,585,2020-08-14 03:49:28.107000+00:00,,,,,,,,
Beyoncé,"Beyoncé, Shatta Wale & Major Lazer - ALREADY",rap,217000,2020-08-12 19:29:52.727000+00:00,,,,,,,,
Bibliothèque Records,Sebjak - Rain (Preview) *OUT NOW!*,ultimate,4721,2020-08-13 16:51:25.500000+00:00,bibliothequerecords,378,"1,627",66,3.31%,0,0,54
Biffy Clyro,Bubbles,indie,377000,2020-08-11 20:19:58.845000+00:00,biffy_clyro,,,,,,,
Big Oppai Ne-san,Wolves *Nightcore*,ultimate,13800,2020-08-14 03:47:03.091000+00:00,itsbigzuu,,,,,,,
Big Zuu,The Struggle (Freestyle),rap,4019,2020-08-12 20:27:11.436000+00:00,itsbigzuu,486,"105,231",392,3.19%,"3,299.50",54.3,3357
BigManZest,Monday RnB Madness,ultimate,879,2020-08-16 18:26:18.044000+00:00,bigmanzest,,,,,,,
Biig Piig,Switch,indie,27200,2020-08-11 02:51:26.957000+00:00,biig_piig,100,"59,695",5,8.25%,"4,870.05",55.3,4925
Billie Eilish,i love you,indie,3250000,2020-08-11 00:52:58.780000+00:00,billieeilish,393,"66,248,535",0,9.78%,"6,403,430.00","75,908.90",6479107
Billy Low,Small Talk,indie,15,2020-08-11 18:40:26.830000+00:00,billyfrombromley,,,,,,,
Bishop Briggs,CHAMPION (feat. Tom Morello),ultimate,5418,2020-08-13 14:57:01.877000+00:00,thatgirlbishop,,,,,,,
Bitch Falcon,Gaslight,ultimate,0,2020-08-13 15:06:21.551000+00:00,bitchfalcon,,,,,,,
Bizzy Banks,Don't Start Pt. 2,rap,1190000,2020-08-12 19:39:44.478000+00:00,gmtobizzy,16,"73,141",833,24.59%,"17,351.40",637.5,17985
Björk,Hyperballad,indie,7635,2020-08-11 14:17:41.593000+00:00,bjork,,,,,,,
Bklava,Slow Down,indie,151,2020-08-11 00:45:52.998000+00:00,bklava,55,"2,440",662,6.72%,155.75,8.2,164
BlaaqGold,MINE (BlaaqGoldRMX),ultimate,6136,2020-08-16 18:30:46.930000+00:00,blaaqgold,191,"3,905",992,3.81%,136.5,12.3,149
Black Box Recorder,Child Psychology,indie,1055,2020-08-11 14:12:38.113000+00:00,,,,,,,,
Black Catalogue 2020,B1 Thomas Melchior - What The?,ultimate,1368,2020-08-13 16:53:57.486000+00:00,monty_luke,"1,462","3,369","1,789",4.18%,132.6,8.35,141
Black Foxxes,Badlands,ultimate,19,2020-08-13 15:06:08.916000+00:00,blackfoxxes,,,,,,,
Black Futures,Trance,ultimate,326,2020-08-13 03:26:23.427000+00:00,black_futures,,,,,,,
Black Grape,Kelly's Heroes,indie,611,2020-08-11 14:14:28.127000+00:00,blackgrapelive,,,,,,,
Black Honey,All My Pride,indie,309,2020-08-11 02:54:07.450000+00:00,blackhoneyuk,,,,,,,
Blackaby,Semolina,indie,4,2020-08-11 18:38:50.317000+00:00,itsblackaby,,,,,,,
Blackorchidempire,Singularity,ultimate,0,2020-08-13 03:28:11.109000+00:00,blackorchidempire,,,,,,,
Bleachers,Don't Take The Money,indie,97200,2020-08-11 02:54:19.977000+00:00,bleachersmusic,,,,,,,
Bleed From Within,Fracture,ultimate,0,2020-08-13 03:25:30.495000+00:00,bleedfromwithin,,,,,,,
Blind Melon,No Rain,indie,90100,2020-08-11 14:13:43.633000+00:00,blindmelonband,,,,,,,
Blinkie,What You Want,ultimate,810,2020-08-13 03:30:52.939000+00:00,iamtheblinkie,,,,,,,
Blonde,I Loved You (feat. Melissa Steel),ultimate,14000000,2020-08-13 16:38:54.747000+00:00,blondeofficial,,,,,,,
Blossoms,Charlemagne,indie,16700,2020-08-11 14:09:30.139000+00:00,blossomsband,,,,,,,
BluFin Records,Robert Babicz - Alta Moda -snippet,ultimate,5852,2020-08-13 16:54:53.931000+00:00,robertbabicz,,,,,,,
Blues For A Red Planet,BFRP 73 /// Sundancers,ultimate,7,2020-08-14 03:13:03.275000+00:00,blues.for.a.red.planet,34,80,213,0.99%,3.95,0,1
Blur Official,The Universal,indie,4459,2020-08-11 14:19:01.528000+00:00,blurofficial,,,,,,,
Bob Marley & The Wailers,Sun Is Shining (feat. Robin Schulz),ultimate,19500,2020-08-13 03:33:27.436000+00:00,bobmarley,,,,,,,
Bob Vylan,We Live Here,ultimate,0,2020-08-13 03:20:29.461000+00:00,bobbyvylan,129,"9,017",991,12.57%,"1,079.40",53.7,1133
Bombay Bicycle Club,Always Like This,indie,47600,2020-08-11 14:07:09.954000+00:00,bombayinsta,,,,,,,
Bon Entendeur,Bon Entendeur Radio invite : Bosq (Exclusive Mix #18),ultimate,7428,2020-08-14 03:06:46.233000+00:00,bon_entendeur,418,"52,191",386,3.33%,"1,705.00",35.1,1738
Boston Manor,Liquid (feat. John Floreani),ultimate,2837,2020-08-13 03:25:04.068000+00:00,bstnmnr,,,,,,,
BoyW1DR,Tick,rap,316,2020-08-12 20:14:22.167000+00:00,boyw1dr,,,,,,,
Brandon,Weep,indie,8133,2020-08-11 00:59:59.769000+00:00,chocolate.devotion,,,,,,,
Brandon Curry,euphoria,indie,28200,2020-08-11 00:50:00.305000+00:00,brandon__curry,,,,,,,
Brandy,Baby Mama (feat. Chance The Rapper),ultimate,63900,2020-08-13 01:18:42.339000+00:00,brandy,,,,,,,
